id,name,image,quote,location,role
17f69a221c9l0i2ojlqe4t4u5lk6pc,Merchant Kalé,https://eldenring.fanapis.com/images/npcs/17f69a221c9l0i2ojlqe4t4u5lk6pc.png,,"Limgrave, Church of Elleh", General Goods Shop
17f69ddf39dl0i2ojm1riku8s6qxfs,Sorceress Sellen,https://eldenring.fanapis.com/images/npcs/17f69ddf39dl0i2ojm1riku8s6qxfs.png,,"Limgrave, Waypoint Ruins",Sorceries Shop
17f69f1be7cl0i2ojly1jcpn4j09p3,Smithing Master Hewg,https://eldenring.fanapis.com/images/npcs/17f69f1be7cl0i2ojly1jcpn4j09p3.png,"I'm a prisoner, and these are my chains. I'm trapped by the Hold, undying, smithing for you fools. That's all there is to it.",Roundtable Hold,Blacksmith
17f69af3e48l0i2ojme5z01n0gziz,Roderika,https://eldenring.fanapis.com/images/npcs/17f69af3e48l0i2ojme5z01n0gziz.png,"Everyone who came with me. They crossed the sea for me. They fought, for me. Heh... Only to have their arms taken. Their legs taken. Even their heads...taken. Taken and stuck to the spider. ","Stormhill Shack, Roundtable Hold",Spirit-Tuner
17f69b266a8l0i2okbqoh1wxlp59l,Thops,https://eldenring.fanapis.com/images/npcs/17f69b266a8l0i2okbqoh1wxlp59l.png,"For a small donation, I'd be happy to share my knowledge.",Church of Irith in Liurnia of the Lakes,Sorcery Student
17f698fa9a6l0i2oki2yjnuz5pqjrh,Enia,https://eldenring.fanapis.com/images/npcs/17f698fa9a6l0i2oki2yjnuz5pqjrh.png,"The Fingers guide us all. And you Tarnished, you are here to take, are you not?",Roundtable Hold,Finger Reader
17f69b2abd8l0i2oki2301lpwzqbe8,"Miriel, Pastor Of Vows",https://eldenring.fanapis.com/images/npcs/17f69b2abd8l0i2oki2301lpwzqbe8.png,"I Welcome you, to the Church of Vows. I am Miriel, steward of this sacred chamber. My apologies, for the unseemly state of affairs. Do you know the origin of this place?",Church of Vows,Steward of the Church of Vows
17f69f7be15l0i2oki48thaky6x3tg,War Counselor Iji,https://eldenring.fanapis.com/images/npcs/17f69f7be15l0i2oki48thaky6x3tg.png,"Well, look at you. We don't receive many visitors","Kingsrealm Ruins, Western Liurnia of the Lakes",Blacksmith & Quest NPC
17f69b259e2l0i2ol1q157ho9f89ia,Sorcerer Rogier,https://eldenring.fanapis.com/images/npcs/17f69b259e2l0i2ol1q157ho9f89ia.png,"The pleasure's mine. Rogier's the name. A sorcerer, as you might have guessed.",Stormveil Castle,Merchant
17f69cd42f7l0i2ol82u1cg8l2ia3d,"Gurranq, Beast Clergyman",https://eldenring.fanapis.com/images/npcs/17f69cd42f7l0i2ol82u1cg8l2ia3d.png,I feel it's stench on you... death. Feed it to me.,"Bestial Sanctum, Caelid",Special Trader
17f69de1218l0i2olc1m799deyzbgj,Boc The Seamster,https://eldenring.fanapis.com/images/npcs/17f69de1218l0i2olc1m799deyzbgj.png,"Hm? Oh, yes I remember. Some clod turned me into a tree.",Limgrave,Garments Adjuster
17f69ddef68l0i2olcp6li59r4nce2,Brother Corhyn,https://eldenring.fanapis.com/images/npcs/17f69ddef68l0i2olcp6li59r4nce2.png,"I teach incantations, the strength granted us by the Two Fingers, and explore the secrets of the Golden Order. So that one day, if a Tarnished of the Roundtable Hold should become Elden Lord, I might counsel them, ensuring order regains its proper form, righting rule over men.",Roundtable Hold,Holy Practitioner
17f699a4f38l0i2olkl6gze7y5zrp8,"D, Hunter Of The Dead",https://eldenring.fanapis.com/images/npcs/17f699a4f38l0i2olkl6gze7y5zrp8.png,Insert NPC quote here.,Roundtable Hold,Undead Hunter
17f69768ff6l0i2olppqo9yb2ltjcb,Knight Bernahl,https://eldenring.fanapis.com/images/npcs/17f69768ff6l0i2olppqo9yb2ltjcb.png,"Let me ask you something Are you here in the Lands Between to take up the fight? Does your faith in the guidance of grace hold firm, despite the collapse of the Golden Order?","Warmaster's Shack, Volcano Manor",Ash of War Merchant
17f69b2925el0i2olviqhconjh7a7i,"Pidia, Carian Servant",https://eldenring.fanapis.com/images/npcs/17f69b2925el0i2olviqhconjh7a7i.png,"But please, can you offer poor ill-starred Pidia...",Caria Manor,Merchant
17f69c203c0l0i2oly55scrrz3xpp,Imprisoned Merchant,https://eldenring.fanapis.com/images/npcs/17f69c203c0l0i2oly55scrrz3xpp.png,,Mohgwyn Dynasty Mausoleum, General Goods Shop
17f699a9d79l0i2olzmep3owqdj2z6,Melina,https://eldenring.fanapis.com/images/npcs/17f699a9d79l0i2olzmep3owqdj2z6.png,"Have you heard of the finger maidens? They serve the Two Fingers, offering guidance, and aid, to the Tarnished. But you, I am afraid, are maidenless. I can play the role of maiden.",The beginning of the Tarnished's journey.,Maiden
17f69998867l0i2ommc4k9yu9xtixv,Bloody Finger Hunter Yura,https://eldenring.fanapis.com/images/npcs/17f69998867l0i2ommc4k9yu9xtixv.png,"Be on your way. Perhaps we will meet again, if fate permits",Limgrave: near Seaside Ruins,Bloody Finger Hunter Guide
17f69b68561l0i2omq2dgwdcu8vtr,Iron Fist Alexander,https://eldenring.fanapis.com/images/npcs/17f69b68561l0i2omq2dgwdcu8vtr.png,"I am Alexander, also known as the Iron Fist. And as you can see, I'm stuck here.",Kevin Howarth,
17f69929146l0i2omt69yecqm01d4k,White-faced Varré,https://eldenring.fanapis.com/images/npcs/17f69929146l0i2omt69yecqm01d4k.png,Are you familiar with grace? The golden light that gives life to you Tarnished You may also behold its golden rays pointing in a particular direction at times That is the guidance of grace. The path that a Tarnished must travel.,Various Locations,Player Guidance
17f6998a6eel0i2omw40wiu6ms1t9nd,Renna,https://eldenring.fanapis.com/images/npcs/17f6998a6eel0i2omw40wiu6ms1t9nd.png,"Unless thou should take the crown?""",Limgrave,The Storyteller
17f69a4d1del0i2omxljdmymj6gaho,Fia,https://eldenring.fanapis.com/images/npcs/17f69a4d1del0i2omxljdmymj6gaho.png,"Great champion, would you allow me to hold you, but briefly?",Roundtable Hold,Deathbed Companion
17f69b242a4l0i2onfyowzjcqnhqab,Edgar,https://eldenring.fanapis.com/images/npcs/17f69b242a4l0i2onfyowzjcqnhqab.png,"Even if the castle should fall, as commander, I must remain.","Castle Morne, Weeping Peninsula",Role goes here.
17f69b22fd9l0i2ono62dded63kgv,Irina,https://eldenring.fanapis.com/images/npcs/17f69b22fd9l0i2ono62dded63kgv.png,"My good father secreted me out the castle, but decided himself to stay. He says it's his duty, as commander. I... I fear for father's life.","Bridge of Sacrifice, Weeping Peninsula",Citizen in need of help.
17f69c93f4al0i2onohm0srozqz4mq,Kenneth Haight,https://eldenring.fanapis.com/images/npcs/17f69c93f4al0i2onohm0srozqz4mq.png,"Hello? Is anybody there? Someone who might be interested on rescuing the great Kenneth Haight? Servant of the true Order, and celebrated repudiator of the false!, O Erdtree! Grant me succour!",Limgrave,Next Rightful Ruler of Limgrave
17f69bd66dfl0i2onozxtj8yo2qu5,Queen Marika,https://eldenring.fanapis.com/images/npcs/17f69bd66dfl0i2onozxtj8yo2qu5.png,"Now, Queen Marika the Eternal is nowhere to be found, and in the Night of the Black Knives Godwyn the Golden was first to perish. Soon, Marika's offspring, demigods all, claimed the shards of the Elden Ring. The mad taint of their newfound strength triggered the Shattering.",???,Ruler of The Lands Between
17f69a1444fl0i2onsit6ui4qbh37,Knight Diallos,https://eldenring.fanapis.com/images/npcs/17f69a1444fl0i2onsit6ui4qbh37.png,"The tale of House Hoslow is told in blood. I, Diallos, swear to deliver that promise.",Roundtable Hold,Noble
17f69b62be6l0i2oob07ui5payf2ua,Frustrated Spirit,https://eldenring.fanapis.com/images/npcs/17f69b62be6l0i2oob07ui5payf2ua.png,"All I wanted was to fight. To fight, as a warrior, to the last... So, Why? Why, O guidance of grace, will this door not open?",Northernmost part of Limgrave,Benevolent
17f699ebb1fl0i2oobc8fbwg1v80tt,Twin Maiden Husks,https://eldenring.fanapis.com/images/npcs/17f699ebb1fl0i2oobc8fbwg1v80tt.png,...,Roundtable Hold,Merchant
17f698c6f91l0i2oocga05vyun858c,Frustrated Spirit,https://eldenring.fanapis.com/images/npcs/17f698c6f91l0i2oocga05vyun858c.png,"All I wanted was to fight. To fight, as a warrior, to the last... So, Why? Why, O guidance of grace, will this door not open?",Northernmost part of Limgrave,Benevolent
17f6996fdcdl0i2oog5491c2w2vvca,Gideon Ofnir,https://eldenring.fanapis.com/images/npcs/17f6996fdcdl0i2oog5491c2w2vvca.png,"As a Tarnished who wishes to stand before the Elden Ring and become Elden Lord, I am accumulating knowledge. To be all-knowing.",Roundtable Hold,Lore
17f69a53534l0i2ooknu8c8fgegqyk,Patches,https://eldenring.fanapis.com/images/npcs/17f69a53534l0i2ooknu8c8fgegqyk.png,I'm Patches. Patches the Untethered.,Murkwater Cave,"x2 Golden Rune (1), Grovel for Mercy"
17f699bcb3bl0i2oow8kivoxqcuy,Hyetta,https://eldenring.fanapis.com/images/npcs/17f699bcb3bl0i2oow8kivoxqcuy.png,"Hello? Is someone there? My name is Hyetta, and I'm journeying in search of the distant light. If I might be so bold as to ask... would you donate any Shabriri grapes in your possession to me? My eyesight has been weak since birth, you see. I can't tell which way I'm supposed to go next.",Various Locations,Finger Maiden
17f698554e5l0i2oowdg1ris9og1e7,Palm Reader,https://eldenring.fanapis.com/images/npcs/17f698554e5l0i2oowdg1ris9og1e7.png,"You, please, I can read them. Your fingers, please, your fingers...",Multiple Locations,Palm Reader
17f69af9513l0i2oowjvkhmdl5ivl,Nepheli Loux,https://eldenring.fanapis.com/images/npcs/17f69af9513l0i2oowjvkhmdl5ivl.png,Be proud. You were a fine warrior. Your only mistake was your choice of master.,Stormveil Castle,Companion
17f69cd292cl0i2op4nttt4k4nvxs,Rya,https://eldenring.fanapis.com/images/npcs/17f69cd292cl0i2op4nttt4k4nvxs.png,"A pleasure to meet you, Brave Tarnished.",Volcano Manor,Scout
17f69e0ee62l0i2op8mg1tq4mnfjjb,Tanith,https://eldenring.fanapis.com/images/npcs/17f69e0ee62l0i2op8mg1tq4mnfjjb.png,"I am Tanith, the proprietress of this house. An honour to have you.",Volcano Manor,Head of Volcano Manor
17f69f5e08al0i2opgccucgwqfl6n6,Ranni The Witch,https://eldenring.fanapis.com/images/npcs/17f69f5e08al0i2opgccucgwqfl6n6.png,"I am the witch Ranni. I stole Death long ago, and search now for the dark path.","Ranni's Rise, Three Sisters", 
17f69c47999l0i2opsy0tzdm0h1sa5o,Gatekeeper Gostoc,https://eldenring.fanapis.com/images/npcs/17f69c47999l0i2opsy0tzdm0h1sa5o.png,,Stormveil Castle Entrance,Castle Gatekeeper
17f69cd5735l0i2opwywnh7fxq5rof,Primeval Sorcerer Azur,https://eldenring.fanapis.com/images/npcs/17f69cd5735l0i2opwywnh7fxq5rof.png,A mysterious and silent figure residing near the Hermit Village.,"Hermit Village, Mt. Gelmir",Unknown
17f69c760bdl0i2opziqz256a85vp,Dung Eater,https://eldenring.fanapis.com/images/npcs/17f69c760bdl0i2opziqz256a85vp.png,I told you not to disturb me,Roundtable Hold,Tarnished
17f696fdac2l0i2oq2molwm1a5hu8i,Preceptor Seluvis,https://eldenring.fanapis.com/images/npcs/17f696fdac2l0i2oq2molwm1a5hu8i.png,"I don't know what it is the mistress sees in a provincial Tarnished like you, but since we have the misfortune of serving the same Lady, I ask that you kindly try not to drag us all down with you.","Seluvis's Rise, Three Sisters",Preceptor of Sorcerous Arts (Quest NPC)
17f6974b8aal0i2oq6qbzsegb120iw,Blaidd,https://eldenring.fanapis.com/images/npcs/17f6974b8aal0i2oq6qbzsegb120iw.png,"The name's Blaidd. I'm looking for a man who goes by ""Darriwil.""",Mistwood Ruins,Wolfman
17f69b6a938l0i2oqf3un7j999hkw,Gowry,https://eldenring.fanapis.com/images/npcs/17f69b6a938l0i2oqf3un7j999hkw.png,"The rotting sickness that afflicts Millicent has no cure. When the Erdtree flourished, even the demigods could not stave off its effects, despite their nigh godhood.","Gowry's Shack, Caelid",Elder Sage
17f69eff01al0i2oqjvfu73rchcwbv,Millicent,https://eldenring.fanapis.com/images/npcs/17f69eff01al0i2oqjvfu73rchcwbv.png,I would rather trust you than simply continue to spoil from within. ,Church of the Plague,NPC
17f69958b0al0i2oqm9ou8yw1ogg8,Bloodhunter Raz,https://eldenring.fanapis.com/images/npcs/17f69958b0al0i2oqm9ou8yw1ogg8.png,...I've still my pride. I'm not going out like a complete monster.,"Seaside Ruins, Stormhill , Stormveil Castle",Companion
17f699524dal0i2oqpa3288ofa2qpo,Latenna,https://eldenring.fanapis.com/images/npcs/17f699524dal0i2oqpa3288ofa2qpo.png,"Foul tarnished, what do you want?","Liurnia of the Lakes, Slumbering Wolf's Shack",Quest NPC
17f69719075l0i2oqs9tcpu9et7pj,Albus,https://eldenring.fanapis.com/images/npcs/17f69719075l0i2oqs9tcpu9et7pj.png,"Please, no. Dear me!. I haven't a clue. No secrets lie with me, not a one.","Village of the Albinaurics, Liurnia of the Lakes",Gives Key Item
17f697ea1d2l0i2or0eyxansf8mnh,Ensha Of The Royal Remains,https://eldenring.fanapis.com/images/npcs/17f697ea1d2l0i2or0eyxansf8mnh.png,,Roundtable Hold,Lore
17f6990f111l0i2or5bdgg2tnr0u3g,Shabriri,https://eldenring.fanapis.com/images/npcs/17f6990f111l0i2or5bdgg2tnr0u3g.png,May chaos take the world! May chaos take the world!,Mountaintops of the Giants,???
17f69e76b78l0i2or85s9z9chrhhg8,Witch-hunter Jerren,https://eldenring.fanapis.com/images/npcs/17f69e76b78l0i2or85s9z9chrhhg8.png,"Brave champion, you have our gratitude",Redmane Castle plaza Church,Witch-Hunter
17f69d9a072l0i2org49ab76ad6ehn,Goldmask,https://eldenring.fanapis.com/images/npcs/17f69d9a072l0i2org49ab76ad6ehn.png,.....,"Altus Plateau, ",Unknown
17f699f1b44l0i2orwujvu4mfw544,Blackguard Big Boggart,https://eldenring.fanapis.com/images/npcs/17f699f1b44l0i2orwujvu4mfw544.png, Never met someone with a taste for prawns I couldn't trust. ,Boilprawn Shack,Blackguard
17f6985df0bl0i2os10gas1pv9n5r,Three Fingers,https://eldenring.fanapis.com/images/npcs/17f6985df0bl0i2os10gas1pv9n5r.png,???,"Cathedral of, the Forsaken",???
17f69c35597l0i2osam7pab26jygzi,The Great-jar,https://eldenring.fanapis.com/images/npcs/17f69c35597l0i2osam7pab26jygzi.png,...,Caelid,NPC
