id,name,image,description,effect
17f69f4f7a3l0i2soioqe3qysjxaw,Arrow's Sting Talisman,https://eldenring.fanapis.com/images/talismans/17f69f4f7a3l0i2soioqe3qysjxaw.png,A talisman depicting three iron arrows. Carried by soldiers long ago.,Raises attack power of arrows and bolts
17f69659e33l0i2soj4uhpxf54ncje,Arsenal Charm,https://eldenring.fanapis.com/images/talismans/17f69659e33l0i2soj4uhpxf54ncje.png,"An iron charm that resembles a mass of weaponry. Boosts maximum equipment load. This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance.",Raises maximum equipment load
17f69d47ea5l0i2sokp40249x3da4f,Assassin's Cerulean Dagger,https://eldenring.fanapis.com/images/talismans/17f69d47ea5l0i2sokp40249x3da4f.png,"An assassin's dagger, misshapen and stained in cerulean. Critical hits restore FP.",Critical hits restore FP
17f697e45b3l0i2sol3u2c1y0ja11,Assassin's Crimson Dagger,https://eldenring.fanapis.com/images/talismans/17f697e45b3l0i2sol3u2c1y0ja11.png,"An assassin's dagger, misshapen and stained in crimson. Critical hits restore HP.",Critical hits restore HP
17f69dfff40l0i2soo71h481xlxzx8i,Arrow's Reach Talisman,https://eldenring.fanapis.com/images/talismans/17f69dfff40l0i2soo71h481xlxzx8i.png,A talisman depicting three arrows. Carried by hunters of beasts.,Increases bow effective range.
17f69c74ab1l0i2sp8u8ehul0cxenh,Axe Talisman,https://eldenring.fanapis.com/images/talismans/17f69c74ab1l0i2sp8u8ehul0cxenh.png,A talisman depicting an axe and a warrior. Enhances charge attacks.,Enhances charge attacks.
17f697718ffl0i2sp9dowe0oahaam,Boltdrake Talisman,https://eldenring.fanapis.com/images/talismans/17f697718ffl0i2sp9dowe0oahaam.png,Talisman depicting a yellow ancient dragon. Boosts lightning damage negation.,Boosts lightning damage negation.
17f69811f79l0i2spa5kavq1z95u5i,Blue Dancer Charm,https://eldenring.fanapis.com/images/talismans/17f69811f79l0i2spa5kavq1z95u5i.png,A cloth doll depicting a dancer garbed in blue. An ancient heirloom of some sort.,Raises attack power with lower equipment load
17f69977289l0i2spaggtt1hdtxhk4,Blessed Dew Talisman,https://eldenring.fanapis.com/images/talismans/17f69977289l0i2spaggtt1hdtxhk4.png,"Talisman depicting a drop of the Erdtree's sap, a blessed boon.",Slowly restores HP.
17f69659808l0i2sphoobyfsfvku2i,Bull-goat's Talisman,https://eldenring.fanapis.com/images/talismans/17f69659808l0i2sphoobyfsfvku2i.png,A talisman depicting the horns of a bull-goat. Raises poise.,Raises Poise
17f69ed62a2l0i2sq0x8kqy5oe9mwn,Cerulean Amber Medallion,https://eldenring.fanapis.com/images/talismans/17f69ed62a2l0i2sq0x8kqy5oe9mwn.png,A medallion with cerulean amber inlaid. Boosts maximum FP.,Raises maximum FP
17f69e97eaal0i2sq1lvpkd5cfq2q,Carian Filigreed Crest,https://eldenring.fanapis.com/images/talismans/17f69e97eaal0i2sq1lvpkd5cfq2q.png,A talisman adorned with the royal crest.,Lowers FP consumed by skills
17f69dc1892l0i2sq1oh9i2x6tlarj,Cerulean Seed Talisman,https://eldenring.fanapis.com/images/talismans/17f69dc1892l0i2sq1oh9i2x6tlarj.png,A cerulean-colored talisman patterned after an Erdtree seed. Boosts FP restoration from the Flask of Cerulean Tears.,Boosts FP restoration from Flask of Cerulean Tears
17f69942443l0i2sq2zl2bttnq08hp,Clarifying Horn Charm,https://eldenring.fanapis.com/images/talismans/17f69942443l0i2sq2zl2bttnq08hp.png,An accoutrement worn by the ancestral followers. Raises focus. (Focus governs resistance to sleep and madness.),Raises Focus
17f69ba1d62l0i2sq92f4o8t2tlzp7,Claw Talisman,https://eldenring.fanapis.com/images/talismans/17f69ba1d62l0i2sq92f4o8t2tlzp7.png,A talisman depicting a claw and an assassin. Enhances jump attacks.,Enhances jump attacks.
17f69d61012l0i2sqr9dmioj7dxngi,Crucible Knot Talisman,https://eldenring.fanapis.com/images/talismans/17f69d61012l0i2sqr9dmioj7dxngi.png,A talisman fashioned from a bony knot that embodies that aspects of various creatures. Said to have grown on the human body long ago.,Reduces damage and impact of headshots
17f699e5a9dl0i2sqsk8mpabyj9mm4,Crimson Amber Medallion,https://eldenring.fanapis.com/images/talismans/17f699e5a9dl0i2sqsk8mpabyj9mm4.png,"A medallion with Crimson amber inlaid. Boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside",Raises maximum HP
17f6993bc1fl0i2sqt5xscysq45rce,Crucible Scale Talisman,https://eldenring.fanapis.com/images/talismans/17f6993bc1fl0i2sqt5xscysq45rce.png,A talisman fashioned from a scale that embodies the aspects of various creatures. Said to have grown on the human body long ago.,Reduces damage taken from critical hits
17f69b7aec7l0i2sqw1x7ajlmzguyi,Crepus's Vial,https://eldenring.fanapis.com/images/talismans/17f69b7aec7l0i2sqw1x7ajlmzguyi.png,Small mysterious bottle with a dark mist sealed within.,Eliminates all sound made by the wearer during movement
17f69ed2edfl0i2sqxgpadu0gprbn,Curved Sword Talisman,https://eldenring.fanapis.com/images/talismans/17f69ed2edfl0i2sqxgpadu0gprbn.png,A talisman depicting a curved sword and a swordsman. Enhances guard counters.,Enhances guard counters.
17f69d584c8l0i2srfem3zhei7qek,Dragoncrest Shield Talisman,https://eldenring.fanapis.com/images/talismans/17f69d584c8l0i2srfem3zhei7qek.png,Wrought iron talisman depicting a trio of ancient dragons. Boosts physical damage negation.,Boosts physical damage negation
17f6969e375l0i2srh8fpkcyede0z,Flamedrake Talisman,https://eldenring.fanapis.com/images/talismans/17f6969e375l0i2srh8fpkcyede0z.png,Talisman depicting a red ancient dragon. Boosts fire damage negation.,Boosts fire damage negation.
17f697b6373l0i2srhja32ffmg9v7s,Fire Scorpion Charm,https://eldenring.fanapis.com/images/talismans/17f697b6373l0i2srhja32ffmg9v7s.png,"A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that burns with fire.","Raises fire attack, but lowers damage negation"
17f69c7f897l0i2srkhjmyvn5rfnva,Godskin Swaddling Cloth,https://eldenring.fanapis.com/images/talismans/17f69c7f897l0i2srkhjmyvn5rfnva.png,"Sacred cloth of the Godskin Apostles, made from supple skin sewn together.",Successive attacks restore HP
17f696b2a8el0i2srkijjgnyeo45ic,Faithful's Canvas Talisman,https://eldenring.fanapis.com/images/talismans/17f696b2a8el0i2srkijjgnyeo45ic.png,A talisman bearing an icon that depicts a group of masked figures. Raises potency of incantations.,Raises potency of Incantations
17f69882e78l0i2ss2r6zb3cbd6h3k,Great-jar's Arsenal,https://eldenring.fanapis.com/images/talismans/17f69882e78l0i2ss2r6zb3cbd6h3k.png,A charm that resembles a great jar overflowing with weaponry. Vastly boosts maximum equipment load.,Vastly Raises maximum equip load (~19%)
17f69854ae6l0i2ss4quq0gikz8cw,Haligdrake Talisman,https://eldenring.fanapis.com/images/talismans/17f69854ae6l0i2ss4quq0gikz8cw.png,Talisman depicting a golden ancient dragon. Boosts holy damage negation.,Boosts holy damage negation.
17f69ecd4bdl0i2ss5cnven5hobw5d,Green Turtle Talisman,https://eldenring.fanapis.com/images/talismans/17f69ecd4bdl0i2ss5cnven5hobw5d.png,A talisman in the shape of a green turtle. Raises stamina recovery speed.,Raises stamina recovery speed.
17f696fc245l0i2ss7f2pzn3xdhj6n,Hammer Talisman,https://eldenring.fanapis.com/images/talismans/17f696fc245l0i2ss7f2pzn3xdhj6n.png,A talisman depicting a hammer and a knight. Enhances stamina-reducing attacks against a blocking opponent.,Enhances stamina-reducing attacks against blockers.
17f69a7ec34l0i2ss898co9a2xz8uv,Immunizing Horn Charm,https://eldenring.fanapis.com/images/talismans/17f69a7ec34l0i2ss898co9a2xz8uv.png,An accountrement worn by the ancestral followers. Raises immunity. (Immunity governs resistance to poison and rot.),Raises Immunity
17f69cd1ed6l0i2ssohaju8uk3qvro,Kindred Of Rot's Exultation,https://eldenring.fanapis.com/images/talismans/17f69cd1ed6l0i2ssohaju8uk3qvro.png,A talisman depicting the exultation of pests.,Poisoning or rot in vicinity increases attack power
17f69e2a905l0i2ssrfz1ym5wgjvc,Lightning Scorpion Charm,https://eldenring.fanapis.com/images/talismans/17f69e2a905l0i2ssrfz1ym5wgjvc.png,"A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that sparks with lightning.","Raises lightning attack, but lowers damage negation"
17f69ca952al0i2ssu6yw9l5kfw6q,Longtail Cat Talisman,https://eldenring.fanapis.com/images/talismans/17f69ca952al0i2ssu6yw9l5kfw6q.png,"A brooch depicting Lacrima, the long-tailed cat.",Renders the wearer immune to fall damage
17f69bdcd53l0i2ssvjmuvkx73w1bo,Marika's Scarseal,https://eldenring.fanapis.com/images/talismans/17f69bdcd53l0i2ssvjmuvkx73w1bo.png,An eye engraved with an Elden Rune. Said to be the seal of Queen Marika.,"Raises attributes, but also increases damage taken"
17f69c66a45l0i2sswom5whqqzshn,Lord Of Blood's Exultation,https://eldenring.fanapis.com/images/talismans/17f69c66a45l0i2sswom5whqqzshn.png,A talisman depicting the exultation of the Lord of Blood.,Enhances critical hits
17f69b9af92l0i2st8bt7bg2grdb1h,Mottled Necklace,https://eldenring.fanapis.com/images/talismans/17f69b9af92l0i2st8bt7bg2grdb1h.png,A vividly-colored accoutrement precious to the ancestral followers.,"Raises Robustness, Immunity, and Focus"
17f6980d220l0i2stavhe03m4ms2yf,Moon Of Nokstella,https://eldenring.fanapis.com/images/talismans/17f6980d220l0i2stavhe03m4ms2yf.png,"This legendary talisman is a treasure of Nokstella, the Eternal City.",Increases memory slots by 2
17f6967fb2dl0i2ste8y2pomb9gcj9,Old Lord's Talisman,https://eldenring.fanapis.com/images/talismans/17f6967fb2dl0i2ste8y2pomb9gcj9.png,A legendary talisman depicting the ancient king whose seat lies at the heart of the storm beyond time.,Extends spell effect duration
17f699f5086l0i2stgzl85bqm2vvy,Pearldrake Talisman,https://eldenring.fanapis.com/images/talismans/17f699f5086l0i2stgzl85bqm2vvy.png,Talisman depicting a pearlescent ancient dragon. Boosts non-physical damage negation.,Boosts non-physical damage negation.
17f69e4e872l0i2strgtb0bn8sior8,Primal Glintstone Blade,https://eldenring.fanapis.com/images/talismans/17f69e4e872l0i2strgtb0bn8sior8.png,An old glintstone blade that has been stained with blood.,"Spells consume less FP, but maximum HP is reduced"
17f697a330el0i2stvssvzrmkqvrx,Prince Of Death's Pustule,https://eldenring.fanapis.com/images/talismans/17f697a330el0i2stvssvzrmkqvrx.png,A fetid pustule taken from facial flesh. Raises vitality. (Vitality governs resistance to the effects of Death.),Raises Vitality
17f69db3ddfl0i2stxpa5we7cuil2,Radagon Icon,https://eldenring.fanapis.com/images/talismans/17f69db3ddfl0i2stxpa5we7cuil2.png,A legendary talisman depicting the Elden Lord Radagon. Shortens the casting time of sorceries and incantations.,Shortens spell casting time
17f69f6b0d2l0i2su0uxibci7qzsn,Radagon's Scarseal,https://eldenring.fanapis.com/images/talismans/17f69f6b0d2l0i2su0uxibci7qzsn.png,An eye engraved with an Elden Rune. Said to be the seal of King Consort Radagon.,"Raises attributes, but also increases damage taken."
17f696a52c1l0i2su2ddt9cbw3bnog,Radagon's Soreseal,https://eldenring.fanapis.com/images/talismans/17f696a52c1l0i2su2ddt9cbw3bnog.png,"This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of King Consort Radagon.","Greatly raises attributes, but also increases damage taken"
17f69e49085l0i2sudupmymnf7is0e,Sacred Scorpion Charm,https://eldenring.fanapis.com/images/talismans/17f69e49085l0i2sudupmymnf7is0e.png,"A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart with a blessed glow.","Raises holy attack, but lowers damage negation."
17f6966d3a9l0i2suh41ayrux3telz,Sacrificial Twig,https://eldenring.fanapis.com/images/talismans/17f6966d3a9l0i2suh41ayrux3telz.png,"A talisman fashioned from a dried twig, so slender that it might snap at the slightest touch.",Will be lost on death in place of runes.
17f697d1dacl0i2sui3ut73lui72f,Shabriri's Woe,https://eldenring.fanapis.com/images/talismans/17f697d1dacl0i2sui3ut73lui72f.png,Disturbing likeness of a man whose eyes have been gouged out. The corners of his mouth are upturned in an almost flirtatious manner.,Constantly attracts enemies' aggression
17f69b80630l0i2sum3q22drl273qe,Spelldrake Talisman,https://eldenring.fanapis.com/images/talismans/17f69b80630l0i2sum3q22drl273qe.png,Talisman depicting a blue ancient dragon. Boosts magic damage negation.,Boosts magical damage negation.
17f69726e74l0i2sunvmav2rtqj9e,Stargazer Heirloom,https://eldenring.fanapis.com/images/talismans/17f69726e74l0i2sunvmav2rtqj9e.png,A talisman engraved with the legend of a queen. Raises intelligence.,Raises intelligence by 5.
17f6964b6cbl0i2suzpeqzc8p0p31a,Twinblade Talisman,https://eldenring.fanapis.com/images/talismans/17f6964b6cbl0i2suzpeqzc8p0p31a.png,A talisman depicting a twinblade and a confessor. Enhances the final hit ending a chain of attacks.,Enhances final hit of chain attacks.
17f69ebbca4l0i2suzy77ydy8c49x,Taker's Cameo,https://eldenring.fanapis.com/images/talismans/17f69ebbca4l0i2suzy77ydy8c49x.png,"A talisman engraved with a stern likeness of Praetor Rykard, master of Volcano Manor.",Restores HP upon defeating enemies
17f697e6e60l0i2sv6zgblnfuco5k5,Starscourge Heirloom,https://eldenring.fanapis.com/images/talismans/17f697e6e60l0i2sv6zgblnfuco5k5.png,A talisman engraved with a scene from a heroic tale. Raises strength.,Raises strength
17f697609cfl0i2sv7ve0yxa2u67ps,Viridian Amber Medallion,https://eldenring.fanapis.com/images/talismans/17f697609cfl0i2sv7ve0yxa2u67ps.png,"A medallion with viridian amber inlaid. Boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside",Raises maximum stamina
17f69b8ff63l0i2svfsqagao13n1q,Two Fingers Heirloom,https://eldenring.fanapis.com/images/talismans/17f69b8ff63l0i2svfsqagao13n1q.png,A talisman engraved with the legend of the Two Fingers. Raises faith.,Raises faith by 5.
17f69a2445bl0i2svl6l9dei5cxhbd,Winged Sword Insignia,https://eldenring.fanapis.com/images/talismans/17f69a2445bl0i2svl6l9dei5cxhbd.png,A talisman depicting a raised prosthetic blade. An honor bestowed upon the knights who fought alongside Malenia the Severed.,Raises attack power with successive attacks
17f69f205a0l0i2svmo2djg04dhvj4,Erdtree's Favor,https://eldenring.fanapis.com/images/talismans/17f69f205a0l0i2svmo2djg04dhvj4.png,"A talisman depicting a special blessing of the Erdtree. Slightly raises maximum HP, stamina, and equip load.","Raises maximum HP, stamina and equip load"
17f699b6e58l0i2svqah8qxabssa6s,Crimson Seed Talisman,https://eldenring.fanapis.com/images/talismans/17f699b6e58l0i2svqah8qxabssa6s.png,A crimson-colored talisman patterned after an Erdtree seed. Boosts HP restoration from the Flask of Crimson Tears.,Boosts HP regeneration from Flask of Crimson Tears
17f69d7c380l0i2sw0rxwfk68fidwr,Graven-school Talisman,https://eldenring.fanapis.com/images/talismans/17f69d7c380l0i2sw0rxwfk68fidwr.png,"A talisman depicting a school of graven mages, the nightmare of the academy.",Raises potency of sorceries
17f69c0c973l0i2sw8w6uvbwqiqfmy,Godfrey Icon,https://eldenring.fanapis.com/images/talismans/17f69c0c973l0i2sw8w6uvbwqiqfmy.png,"A legendary talisman depicting the Elden Lord Godfrey. Raises charge attack power of sorceries, incantations, and skills.",Enhances charged spells and skills.
17f69858252l0i2swaqtyccdf5kihk,Lance Talisman,https://eldenring.fanapis.com/images/talismans/17f69858252l0i2swaqtyccdf5kihk.png,A talisman depicting a lance and a knight. Enhances attacks while on horseback.,Enhances attacks on horseback
17f69ee87e3l0i2swe4iei5nanxbr,Graven-mass Talisman,https://eldenring.fanapis.com/images/talismans/17f69ee87e3l0i2swe4iei5nanxbr.png,"A talisman depicting the first school of graven mages â€” a nightmare that would continue to haunt the academy.  Greatly raises potency of sorceries.  The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry.",Greatly raises potency of sorceries.
17f6967466bl0i2swi5et1ibv4rc6r,Ancestral Spirit's Horn,https://eldenring.fanapis.com/images/talismans/17f6967466bl0i2swi5et1ibv4rc6r.png,Item cut from the horns of the Regal Ancestor Spirit.,Restores FP upon defeating enemies
17f69990291l0i2swl19cw8v99d5tk,Stalwart Horn Charm,https://eldenring.fanapis.com/images/talismans/17f69990291l0i2swl19cw8v99d5tk.png,"An accoutrement worn by the ancestral followers. Greatly raises robustness. (Robustness governs resistance to blood loss and frost.)  Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",Greatly raises robustness
17f696b90dbl0i2sws9twxdvi39xzf,Dragoncrest Greatshield Talisman,https://eldenring.fanapis.com/images/talismans/17f696b90dbl0i2sws9twxdvi39xzf.png,Legendary talisman of wrought iron depicting a massive ancient dragon. Enormously boosts physical damage negation.,Enormously boosts physical damage negation
17f69c504f2l0i2swunxt9oun5dn9,Marika's Soreseal,https://eldenring.fanapis.com/images/talismans/17f69c504f2l0i2swunxt9oun5dn9.png,"This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of Queen Marika.","Greatly raises attributes, but also increases damage taken."
17f69d1b2c0l0i2sx1e2ftbrqshztb,Gold Scarab,https://eldenring.fanapis.com/images/talismans/17f69d1b2c0l0i2sx1e2ftbrqshztb.png,"A talisman facsimile of a scarab, the carrier of treasures and precious things.",Increases runes obtained from
17f699ae959l0i2sx3bloupcziqiz,Ritual Sword Talisman,https://eldenring.fanapis.com/images/talismans/17f699ae959l0i2sx3bloupcziqiz.png,A talisman patterned after swords used in ritual combat held to honor the Erdtree.,Raises attack power when HP is at maximum.
17f699e1a3al0i2sxkv62fi32hab4,Ritual Shield Talisman,https://eldenring.fanapis.com/images/talismans/17f699e1a3al0i2sxkv62fi32hab4.png,A talisman patterned after shields used in ritual combat held to honor the Erdtree.,Raises defense when HP is at maximum.
17f69e92d45l0i2sxmogqn2tdfna89,Perfumer's Talisman,https://eldenring.fanapis.com/images/talismans/17f69e92d45l0i2sxmogqn2tdfna89.png,A talisman depicting a set of perfume bottles. Raises potency of perfume items.,Raises potency of perfume items
17f69b3ce89l0i2sxo7j01c9t4v2b,Blue-feathered Branchsword,https://eldenring.fanapis.com/images/talismans/17f69b3ce89l0i2sxo7j01c9t4v2b.png,"A talisman adorned with blue feathers, once used in ancient death rituals.",Raises defense when HP is low.
17f69747fbcl0i2sxow29iyn6fm75v,Magic Scorpion Charm,https://eldenring.fanapis.com/images/talismans/17f69747fbcl0i2sxow29iyn6fm75v.png,"A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that shimmers with magic.","Raises magic attack, but lowers damage negation"
17f69c86334l0i2sy3lip14s6g9qa,Prince Of Death's Cyst,https://eldenring.fanapis.com/images/talismans/17f69c86334l0i2sy3lip14s6g9qa.png,"A fetid, overgrown cyst taken from facial flesh. Greatly raises vitality. (Vitality governs resistance to the effects of Death.)",Greatly raises vitality
17f69f4710al0i2sy6gpkd85ki28,Warrior Jar Shard,https://eldenring.fanapis.com/images/talismans/17f69f4710al0i2sy6gpkd85ki28.png,Shard of a shattered warrior jar.,Boosts the attack power of skills.
17f698e1ea9l0i2sy8csbpc3y128lo,Shard Of Alexander,https://eldenring.fanapis.com/images/talismans/17f698e1ea9l0i2sy8csbpc3y128lo.png,"Shard of the late Alexander, a shattered warrior jar.",Greatly boosts the attack power of skills.
17f69ba2ff0l0i2sye3sdb94vc6u6j,Greatshield Talisman,https://eldenring.fanapis.com/images/talismans/17f69ba2ff0l0i2sye3sdb94vc6u6j.png,Talisman depicting a knight holding a greatshield. Boosts guarding ability.,Boosts guarding ability.
17f69afb835l0i2sykg6ynuw6wl9b,Millicent's Prosthesis,https://eldenring.fanapis.com/images/talismans/17f69afb835l0i2sykg6ynuw6wl9b.png,Part of the golden prosthesis used by Millicent. The hand is locked into a fist that once raised a sword aloft.,"Boosts dexterity, raises attack power with successive attacks"
17f69e13918l0i2syr0vvb0gg1l8xg,Spear Talisman,https://eldenring.fanapis.com/images/talismans/17f69e13918l0i2syr0vvb0gg1l8xg.png,A talisman depicting a spear and a soldier. Enhances the counterattacks that are unique to thrusting weapons.,Enhances counterattacks unique to thrusting weapons
17f6991130cl0i2sywsfxyysl6tz7h,Dagger Talisman,https://eldenring.fanapis.com/images/talismans/17f6991130cl0i2sywsfxyysl6tz7h.png,A talisman depicting a dagger and a surgeon. Enhances critical hits.,Enhances critical hits.
17f69ad7529l0i2syzo9ji7wrucoq5,Red-feathered Branchsword,https://eldenring.fanapis.com/images/talismans/17f69ad7529l0i2syzo9ji7wrucoq5.png,"A talisman adorned with red feathers, once used in ancient death rituals.",Raises attack power when HP is low.
17f69eaed7fl0i2sz3buubfj570rq,Companion Jar,https://eldenring.fanapis.com/images/talismans/17f69eaed7fl0i2sz3buubfj570rq.png,A talisman given by the jars to their friends. Raises potency of thrown jars.,Raises potency of throwing pots
17f6976f6b0l0i2szav175mw9xww9x,Flock's Canvas Talisman,https://eldenring.fanapis.com/images/talismans/17f6976f6b0l0i2szav175mw9xww9x.png,A talisman bearing an icon that depicts a mass of masked figures. Greatly raises potency of incantations.,Greatly raises potency of Incantations.
17f69c9bfc8l0i2sze3h5gawcr577p,Concealing Veil,https://eldenring.fanapis.com/images/talismans/17f69c9bfc8l0i2sze3h5gawcr577p.png,Talisman put together from dark cloth with a lustrous sheen,Conceals wearer while crouching away from foes
17f69cdc905l0i2szmkk79ces1m9ea,Furled Finger's Trick-mirror,https://eldenring.fanapis.com/images/talismans/17f69cdc905l0i2szmkk79ces1m9ea.png,"A small, clouded mirror that reflects a flesh-and-blood figure. Makes the bearer take on the appearance of a Host of Fingers One of the ritual implements created by the Tarnished to deceive invaders.",Take on appearance of a Host of Fingers
17f69d33e2dl0i2szt872otxd3taua,Crucible Feather Talisman,https://eldenring.fanapis.com/images/talismans/17f69d33e2dl0i2szt872otxd3taua.png,A talisman fashioned from feathers that embody the aspects of various creatures. Said to have grown on the human body long ago.,Improves dodge rolling but increases damage taken
17f699d64d5l0i2szu3wjjkmeqklc,Daedicar's Woe,https://eldenring.fanapis.com/images/talismans/17f699d64d5l0i2szu3wjjkmeqklc.png,Disturbing likeness of a woman whose skin was flayed. She smiles with a serene tenderness.,Increases damage taken
17f69e0bce6l0i2szv2ltfxx820p4e,Host's Trick-mirror,https://eldenring.fanapis.com/images/talismans/17f69e0bce6l0i2szv2ltfxx820p4e.png,"A small, clouded mirror that reflects a flesh-and-blood figure.",Take on appearance of a cooperator
17f696c4991l0i2szwm52zrw4bgso4,Entwining Umbilical Cord,https://eldenring.fanapis.com/images/talismans/17f696c4991l0i2szwm52zrw4bgso4.png,Mysterious circular object that's oddly warped. Changes the demeanour of the wearer's actions.,Changes demeanour of wearer's actions
